"Date","Price","Open","High","Low","Vol.","Change %"
"12/16/2025","18,583.78","18,553.93","18,671.92","18,543.49","","0.16%"
"12/15/2025","18,553.93","18,566.51","18,694.45","18,515.19","","-0.07%"
"12/12/2025","18,566.51","18,498.78","18,622.63","18,498.78","","0.37%"
"12/11/2025","18,498.78","18,520.07","18,545.73","18,418.11","","-0.11%"
"12/10/2025","18,520.07","18,458.27","18,529.44","18,396.95","","0.33%"
"12/09/2025","18,458.70","18,473.46","18,527.50","18,410.70","","-0.08%"
"12/08/2025","18,473.46","18,469.38","18,563.04","18,418.04","","0.02%"
"12/05/2025","18,469.38","18,386.27","18,480.01","18,339.21","","0.45%"
"12/04/2025","18,386.27","18,371.96","18,495.42","18,371.68","","0.08%"
"12/03/2025","18,371.96","18,350.34","18,415.29","18,323.25","","0.12%"
"12/02/2025","18,350.34","18,428.73","18,437.57","18,318.91","","-0.46%"
"12/01/2025","18,434.92","18,603.59","18,603.59","18,434.92","","-0.91%"
"11/28/2025","18,603.59","18,640.63","18,662.77","18,492.47","","-0.20%"
"11/27/2025","18,640.63","18,535.59","18,648.85","18,515.50","","0.57%"
"11/26/2025","18,535.59","18,382.71","18,538.80","18,382.71","","0.83%"
"11/25/2025","18,382.71","18,337.56","18,458.28","18,337.56","","0.25%"
"11/24/2025","18,337.56","18,205.28","18,340.14","18,187.32","","0.73%"
"11/21/2025","18,205.28","18,112.94","18,217.85","18,112.90","","0.51%"
"11/20/2025","18,112.94","18,207.75","18,245.10","18,106.62","","-0.52%"
"11/19/2025","18,207.75","18,496.12","18,515.44","18,199.80","","-1.56%"
"11/17/2025","18,496.12","18,645.53","18,935.71","18,496.12","","-0.80%"
"11/14/2025","18,645.53","18,754.43","18,834.18","18,614.20","","-0.58%"
"11/13/2025","18,754.43","18,668.96","18,834.21","18,668.96","","0.46%"
"11/12/2025","18,668.96","18,624.84","18,864.75","18,622.77","","0.24%"
"11/11/2025","18,624.84","19,064.05","19,079.85","18,624.84","","-2.30%"
"11/10/2025","19,064.05","19,268.40","19,286.21","19,058.20","","-1.06%"
"11/07/2025","19,268.40","19,406.21","19,495.71","19,254.84","","-0.71%"
"11/05/2025","19,406.21","19,561.84","19,578.70","19,406.21","","-0.80%"
"11/04/2025","19,561.84","19,710.01","19,728.01","19,543.41","","-0.75%"
"11/03/2025","19,710.01","19,636.52","20,060.07","19,636.52","","0.37%"
"10/31/2025","19,636.52","19,546.88","19,728.29","19,518.22","","0.46%"
"10/30/2025","19,546.88","19,501.70","19,565.19","19,462.49","","0.23%"
"10/29/2025","19,501.70","19,410.19","19,512.88","19,410.13","","0.47%"
"10/28/2025","19,410.19","19,374.33","19,448.11","19,367.20","","0.19%"
"10/27/2025","19,374.33","19,443.32","19,469.58","19,373.75","","-0.35%"
"10/24/2025","19,443.32","19,384.53","19,443.60","19,290.03","","0.30%"
"10/23/2025","19,384.53","19,452.84","19,482.16","19,297.96","","-0.35%"
"10/22/2025","19,452.84","19,339.45","19,516.70","19,339.45","","0.59%"
"10/21/2025","19,339.45","18,927.90","19,339.45","18,927.90","","2.17%"
"10/20/2025","18,927.90","18,457.86","18,929.02","18,457.86","","2.55%"
"10/17/2025","18,457.86","18,438.26","18,566.77","18,432.25","","0.11%"
"10/16/2025","18,438.26","18,199.30","18,457.60","18,184.11","","1.31%"
"10/15/2025","18,199.30","18,296.61","18,492.86","18,064.53","","-0.53%"
"10/14/2025","18,296.61","18,666.19","18,743.03","18,268.23","","-1.98%"
"10/13/2025","18,666.19","18,549.37","18,762.61","18,549.37","","0.63%"
"10/10/2025","18,549.37","18,599.49","18,687.97","18,549.07","","-0.27%"
"10/09/2025","18,599.49","18,862.92","18,967.58","18,599.49","","-1.40%"
"10/08/2025","18,862.92","18,983.55","19,093.31","18,841.85","","-0.64%"
"10/07/2025","18,983.55","19,084.25","19,198.59","18,983.55","","-0.53%"
"10/06/2025","19,084.25","18,820.18","19,230.22","18,820.18","","1.40%"
"10/03/2025","18,820.18","18,460.09","19,044.45","18,454.76","","1.95%"
"10/02/2025","18,460.09","18,371.20","18,597.47","17,765.29","","0.48%"
"10/01/2025","18,371.20","19,024.82","19,024.82","18,367.38","","-3.44%"
"09/30/2025","19,024.82","18,980.22","19,056.95","18,404.41","","0.23%"
"09/29/2025","18,980.22","19,342.98","19,393.68","18,980.22","","-1.88%"
"09/26/2025","19,342.98","19,430.04","19,465.04","19,265.38","","-0.45%"
"09/25/2025","19,430.04","19,617.53","19,658.13","19,416.63","","-0.96%"
"09/24/2025","19,617.53","19,770.15","19,925.33","19,572.56","","-0.77%"
"09/23/2025","19,770.15","19,956.20","20,029.47","19,765.19","","-0.93%"
